step,customer,age,gender,zipcodeOri,merchant,zipMerchant,category,amount,fraud,transaction_id
8707,C000054,35,F,85333,Store B,78945,Groceries,991.3,0,f778d330-0d53-4794-9e08-e8848d114bbf
7228,C000055,64,F,17531,Store C,86855,Clothing,540.22,0,2701d1df-6fe1-413d-8a9d-7bd5243a7d5a
8413,C000056,19,F,23825,Store D,36696,Dining,988.69,0,2787bc90-ce82-4dc8-8c1d-eab187d827cb
228,C000057,66,F,74028,Store E,73612,Clothing,749.73,0,c8f1ef72-0744-43a9-aaaa-00802b6231d2
2338,C000058,25,M,82447,Store F,37578,Utilities,129.52,0,d644e191-c615-4638-a32b-3e4e9434ff58
956,C000059,39,F,42316,Store G,11908,Electronics,798.01,0,3eb31915-0adb-4e92-b558-170e635df99d
1498,C000060,39,M,81267,Store H,79182,Clothing,169.67,0,c4db0976-b79d-4679-b94f-4933209c1afc
9473,C000061,43,F,27279,Store I,66867,Travel,12984.93,1,379fce65-0bb7-4b7a-ab37-c6ae1892275c
1979,C000062,43,F,54223,Store J,89368,Utilities,617.11,0,d389a36d-9297-4565-a87c-f92d31f009c8
1530,C000063,26,F,99952,Store K,94297,Utilities,893.31,0,92757164-a709-486d-ba6c-da5c559e5e57
2663,C000064,38,F,38000,Store L,21586,Gifts,8156.36,1,aa6e6320-ebc4-4510-be59-758034504afc
6434,C000065,48,F,22045,Store M,30720,Jewelry,18139.13,1,b693d474-317e-4c3f-a298-fe3ff0e9c8ec
7446,C000066,69,M,61498,Store N,80940,Dining,935.15,0,2caf13b2-9f41-4d64-870e-c5cc7b844cdd
4285,C000067,80,F,46299,Store O,97878,Dining,98.59,0,85f516bc-07d2-4288-83ff-2daf23bd4fb7
9110,C000068,60,F,86202,Store P,11625,Electronics,886.43,0,dbbaa8f7-10a2-40c1-98c9-86420fcc17f9
1202,C000069,23,F,28245,Store Q,48186,Clothing,266.59,0,e23ec408-ef46-4601-9cb6-fb3f18668124
7132,C000070,73,F,37339,Store R,47154,Groceries,90.19,0,a51c9c20-ca73-4754-b1de-a7e247abb260
9814,C000071,31,M,80388,Store S,81890,Utilities,958.99,0,c4a2a003-71f5-4234-9ba2-a8e1bfdb7d6f
760,C000072,50,F,91950,Store T,44157,Gifts,10883.05,1,147cc17d-8f64-49f5-89bb-ae3061f8e1dd
5574,C000073,24,M,73819,Store U,65061,Electronics,626.75,0,70bcbced-6151-446d-8dfa-e3a3210c9425
5162,C000074,41,F,89817,Store V,27871,Utilities,557.34,0,d5e63229-7363-45f6-a662-aeb1fa63f15b
4290,C000075,26,M,38031,Store W,65653,Electronics,221.05,0,b807d467-d9b6-474b-bb39-ef9db78e83c5
5447,C000076,28,M,26626,Store X,19108,Clothing,672.87,0,18fb6cff-2681-4878-be63-2921b4a9a18b
9681,C000077,73,M,33302,Store Y,85869,Travel,5691.72,1,a637f727-0da5-437b-adc1-56dd1d3553ab
4259,C000078,40,M,56691,Store Z,93806,Electronics,211.06,0,1f869e23-f48a-4a25-afd6-c9af2136634e
4372,C000079,65,M,40112,Store A,44984,Groceries,945.22,0,dd655c5a-e52d-4e00-87fa-b752c630d115
1666,C000080,68,F,81047,Store B,93240,Travel,19302.61,1,5949484b-318e-4ea0-be95-114b4790554a
6919,C000081,19,M,80204,Store C,91840,Dining,487.83,0,e71be1be-eead-4a07-8b20-9fd69799faac
6624,C000082,32,F,16087,Store D,73478,Travel,7536.08,1,b7ec317b-d107-4102-a468-673eb67e4777
8652,C000083,52,M,82551,Store E,34290,Electronics,427.4,0,c9cb5df3-723a-454e-a0ce-c6c7f3d220c1
7433,C000084,53,M,41314,Store F,24433,Clothing,878.3,0,2ac36435-3c6c-477f-bef0-4b4f8fd53690
6683,C000085,69,F,87150,Store G,79981,Electronics,79.57,0,3b8cc7b1-136e-47ed-9168-5ed20787c623
6229,C000086,71,M,79539,Store H,47599,Groceries,136.59,0,7202068f-091d-4490-a3ce-0398360aef5f
5828,C000087,45,M,36235,Store I,20818,Clothing,896.7,0,4112604e-1b34-488c-a2be-d254d402f90b
5436,C000088,56,M,70572,Store J,99737,Utilities,421.23,0,a2433bcc-bcbf-41b1-b7c1-c542a84fce33
7637,C000089,61,M,43366,Store K,16984,Dining,92.62,0,bc2f47a8-345f-41da-ae41-7fd260f52ccf
1366,C000090,21,F,61347,Store L,51360,Dining,147.82,0,7190662a-4358-44ea-a310-1ee467f4c8d1
7345,C000091,27,M,42837,Store M,76286,Utilities,883.62,0,4935d566-f932-4e66-ac10-8f394940e548
3202,C000092,23,M,18139,Store N,15594,Electronics,495.2,0,7edaa678-c470-446a-a749-bf0b14efa9dc
4753,C000093,74,F,19585,Store O,72260,Groceries,171.36,0,e9c3e30a-1647-4924-b4e0-2bcf6906689b
9576,C000094,47,F,13659,Store P,89266,Luxury,18410.9,1,fef10377-652a-4239-9fb7-4f88fa690032
6092,C000095,71,M,15634,Store Q,17171,Groceries,846.83,0,dbf461c1-b430-403f-8841-94ff3d220300
6615,C000096,63,M,13682,Store R,95605,Groceries,32.79,0,6f505a76-6a1d-4dfe-82f6-c3b8a35921ee
1522,C000097,52,F,45451,Store S,60570,Electronics,585.18,0,441ac5f2-cab2-496e-af7d-65671fb032a3
7522,C000098,66,M,80098,Store T,62923,Utilities,251.89,0,0f6f28bc-6b16-4d9b-9549-0dbea24102e0
6560,C000099,60,F,14652,Store U,72405,Utilities,537.8,0,e5d663c1-d184-4ae2-9ca8-bc0204985e65
1624,C000100,27,M,96851,Store V,72653,Dining,286.48,0,d4ea0490-9f22-4914-9b7b-0aa7aa00ca73
8874,C000101,75,F,85038,Store W,20210,Luxury,9738.14,1,56e78176-0095-402d-a994-f31bc866e61b
3135,C000102,78,F,80249,Store X,69380,Groceries,605.83,0,9ea7bdaf-ab5b-413d-b186-d2476b0b3fc4
5821,C000103,70,F,15413,Store Y,52605,Electronics,543.47,0,f2050673-48e6-4d0f-b83c-548a36420c50
4995,C000104,49,M,31984,Store Z,84541,Clothing,401.24,0,8a3135f4-c7cc-4fdb-9f32-f8c7c8927c57
4697,C000105,59,M,30487,Store A,40825,Clothing,116.49,0,24e61f7b-f5eb-484b-9753-6cdba658a1ab
1868,C000106,59,M,12075,Store B,91241,Luxury,19541.36,1,c53ca1f9-6bdd-4dd1-a22e-3d977c289688
9392,C000107,20,M,43550,Store C,43791,Gifts,7619.08,1,91bc6dfe-01ec-4b3e-85ae-314846f1cd43
2824,C000108,73,F,95726,Store D,85237,Dining,636.79,0,d781e8c4-99b8-43f5-bc3a-e27d08d0ddaf
6107,C000109,43,F,52293,Store E,90202,Clothing,91.92,0,85369ab1-7987-481a-8c7a-b1f0faa54d08
169,C000110,32,F,87445,Store F,80775,Gifts,15324.69,1,2b73c31c-8d58-428d-8bb1-65087d6f5066
7788,C000111,34,M,39212,Store G,91748,Groceries,103.89,0,82dc8ffe-76e6-4518-9ef9-db00ae9c9461
8631,C000112,44,M,24962,Store H,94266,Electronics,237.21,0,3d4f2fc2-98b1-4736-89b2-772904cb120d
4910,C000113,35,M,25853,Store I,76391,Clothing,650.52,0,8aa36c31-cfc7-4b04-b659-cbd4e012568a
8028,C000114,68,F,60209,Store J,84894,Luxury,9244.03,1,2ea4b93b-d3a8-4f15-9d99-f2b99474d623
4682,C000115,36,M,89911,Store K,60817,Clothing,537.52,0,35d7cc1c-a659-4c5b-a703-1624f2951d40
9056,C000116,29,M,55964,Store L,79574,Electronics,133.26,0,1eb5e726-bd4f-4076-a81b-cd7ed29d317c
5138,C000117,41,F,77645,Store M,52932,Utilities,210.38,0,10826912-baf3-4a13-b97e-b1ff0c59d6a9
8332,C000118,22,F,70501,Store N,73404,Jewelry,16006.64,1,ab74e485-0cb6-4634-aaad-f3f11e5c21ed
5235,C000119,41,M,76856,Store O,30071,Luxury,5527.08,1,78502fee-fc16-40de-bd5f-357332ef6b97
225,C000120,44,F,91523,Store P,93036,Electronics,120.68,0,184cef07-b49f-4f84-b449-407b0f20cdf9
8750,C000121,65,M,47185,Store Q,54328,Electronics,222.81,0,0157ceb4-065b-4ebf-ac6a-d09eee6a543a
6583,C000122,47,F,79235,Store R,63694,Utilities,29.99,0,4f6c8cd1-bd3b-490e-a9fa-68165e1d26ba
1574,C000123,32,F,59884,Store S,10733,Electronics,104.42,0,94ee305a-b405-4aa4-8da1-985a9fa81cff
8578,C000124,64,F,72858,Store T,71127,Electronics,288.58,0,9faca7e4-221e-40d7-81fa-88de174459cd
8713,C000125,76,M,74326,Store U,45689,Electronics,101.99,0,b0767c60-bcd3-42b0-9498-6156b8a9aca8
6764,C000126,55,M,49330,Store V,54289,Utilities,867.46,0,83013ff8-075a-4244-97dc-7703fe66dbbf
5218,C000127,80,M,56415,Store W,88345,Utilities,75.41,0,d69e528e-4c80-4b47-b1ba-eed58ac3676a
3143,C000128,61,F,71006,Store X,23686,Clothing,862.37,0,c979cd0a-2ee1-43f0-b3b5-c47b23b32a31
3502,C000129,51,F,59127,Store Y,79034,Utilities,824.63,0,9443a95a-13aa-4fef-885f-4b77f7e5f545
1500,C000130,44,F,32547,Store Z,14717,Gifts,6511.42,1,546110be-9b27-41bd-9dc1-671023fc0d08
9670,C000131,37,F,32939,Store A,14854,Utilities,34.94,0,bac3f656-19ba-4e7a-9921-ea142984f443
9096,C000132,58,M,89738,Store B,24358,Dining,59.49,0,74020383-1326-4195-b69c-2a7fb2c19871
9824,C000133,49,M,97298,Store C,31857,Gifts,13855.67,1,48f0dc0e-1b54-4342-9a6d-ec4e5a352ee9
6688,C000134,21,M,84332,Store D,91120,Electronics,673.65,0,7f511b77-5049-4211-a17a-d0746376a7c5
5246,C000135,22,F,11722,Store E,14960,Dining,624.45,0,dc9d778a-5b9b-4b65-84df-239310f44a3b
9363,C000136,70,F,53364,Store F,46283,Utilities,546.06,0,93e6808c-2cc3-43c7-8ce6-a167a4cf90cc
1745,C000137,75,M,21674,Store G,36576,Jewelry,7620.26,1,3fbcc5d1-f713-48df-84db-00706e624fb2
2040,C000138,25,F,12812,Store H,28700,Utilities,842.54,0,c2f297f8-e53d-4572-b077-aad3565528a5
8312,C000139,39,M,12278,Store I,53540,Gifts,9913.32,1,3b095e82-172d-4065-80b0-b47d9cfab4d2
3858,C000140,59,F,45118,Store J,61166,Dining,986.32,0,1793854d-5aba-4eb2-a8b7-58b596b1f471
9868,C000141,24,F,79159,Store K,57417,Luxury,10772.87,1,679d966b-9e71-48b7-8aa1-3c3dbfcaa3cf
9513,C000142,39,M,16530,Store L,29412,Electronics,270.37,0,2cf8bf90-3c6b-4184-902d-689104289084
4951,C000143,63,M,59866,Store M,69291,Clothing,895.31,0,3ab98784-9b46-438a-8138-600638207c81
9208,C000144,47,F,91523,Store N,14231,Jewelry,13511.21,1,0395e0fd-b361-4e33-bc45-0ea4c57215d8
7088,C000145,79,M,10924,Store O,95068,Clothing,724.63,0,8dd57916-9ece-4b79-993f-cf9f3904881d
6032,C000146,54,M,29546,Store P,17521,Utilities,414.31,0,b2c3ce80-b634-4f4b-ba98-f268fda18245
1744,C000147,33,F,63305,Store Q,74569,Groceries,888.05,0,89a9dc79-f1ad-4756-b835-1001858c4833
3542,C000148,32,F,87806,Store R,21349,Gifts,18765.88,1,20a64264-20e5-4ccf-8677-2a2b83da74d6
9639,C000149,22,F,28953,Store S,42768,Luxury,11551.53,1,387d3b29-93b3-4a5d-92a7-ad680e41a0cb
3617,C000150,20,M,45583,Store T,72985,Clothing,248.32,0,6fef6fd5-8369-48ac-ada2-a30cb89adc23
3895,C000151,40,F,98892,Store U,17611,Utilities,651.19,0,170f05cd-8fd9-4adf-9184-0a530305ac8e
1725,C000152,78,F,80114,Store V,29012,Groceries,955.04,0,01ceb1aa-c245-4732-b98d-47f683ad6e3e
6228,C000153,27,F,14462,Store W,98054,Electronics,626.22,0,3a610c47-9c77-4727-8a8d-fe55b8a69ce6
4063,C000154,22,F,10888,Store X,59725,Utilities,954.68,0,e33916a4-35f5-472f-85b5-13eba0af78c3
7848,C000155,40,F,97868,Store Y,11548,Dining,350.37,0,7ace7c10-75fb-43f1-9fdc-991a25e15cb8
4282,C000156,32,M,95398,Store Z,23988,Dining,915.93,0,49281c85-039c-4d66-8ac9-c97163d2a60d
8264,C000157,35,F,95509,Store A,71186,Dining,121.44,0,c1ccb5c8-f634-4683-8f7b-9132d81f5062
2201,C000158,42,F,77259,Store B,24497,Travel,10382.52,1,a257ce97-f00b-42dc-ab21-8e391fb5c7b1
2144,C000159,25,M,33410,Store C,81581,Utilities,499.53,0,c73daac8-06e5-4ce7-ad16-40e530e64332
3182,C000160,48,F,18602,Store D,29876,Clothing,656.58,0,7daa7a78-49bf-49d5-ae32-0291230c7baa
9674,C000161,38,F,28614,Store E,36819,Gifts,9412.09,1,b69a6a15-ad93-4ea3-9d97-7b980e89c60c
2876,C000162,19,M,28444,Store F,17839,Utilities,925.0,0,8fa305f2-6cf3-416f-8531-65ea20dd3fdb
6521,C000163,39,F,63050,Store G,48457,Electronics,904.46,0,2c89d131-149d-4747-9dd2-47cdba13039c
1097,C000164,25,M,78149,Store H,71976,Luxury,16990.05,1,1f452e01-32a1-45c9-906a-2fed1b6bdffb
8916,C000165,40,F,98618,Store I,20275,Jewelry,6715.44,1,431a260d-fff8-4601-9e9d-a99cfbd1c99d
6919,C000166,49,M,91516,Store J,48151,Gifts,6174.36,1,0e08f0ed-fe24-48a9-ba6f-021398d3b138
8149,C000167,25,M,54866,Store K,44173,Utilities,503.15,0,0d173613-f3ef-4974-947e-04729bf5157c
3215,C000168,21,F,76213,Store L,89985,Dining,767.69,0,7e664a53-cf23-4a3c-8447-7c7f7be8a88f
7750,C000169,47,M,86638,Store M,53612,Utilities,132.0,0,5fa4f04a-9c07-4dd0-bd15-acdab42f334f
5565,C000170,36,M,67239,Store N,25960,Jewelry,14621.56,1,bd69e4ec-59e7-4177-96df-41b443e49fbc
2872,C000171,40,F,53211,Store O,14538,Jewelry,12917.83,1,1d0b9d08-545d-4f46-be2f-2807b9c33a38
4490,C000172,35,F,13004,Store P,60338,Groceries,728.73,0,ce93c883-6868-4415-981a-ab241c579590
4608,C000173,79,M,73789,Store Q,38709,Utilities,441.02,0,07c3228b-c00b-4bdd-8fe7-6b8d986bd068
6765,C000174,70,F,84522,Store R,12139,Clothing,696.36,0,e43ad0fd-1b26-4e7b-afb2-4610ab331ba9
5835,C000175,46,M,74084,Store S,45446,Jewelry,7394.13,1,a61e143c-c4bb-4a26-bd8b-957d7059a821
9913,C000176,40,M,36269,Store T,46562,Travel,8218.91,1,16f5172c-a5e2-48f4-a57b-0e4dfa4dc6b7
3400,C000177,50,F,89709,Store U,29103,Clothing,904.3,0,cbd6ccca-37f7-4181-9502-eaea285c23fd
5379,C000178,69,F,31118,Store V,57204,Clothing,336.08,0,b49da554-a2e9-4962-9a32-276feef7e51d
1858,C000179,64,M,24089,Store W,34432,Dining,985.65,0,63d13115-782e-46b2-a076-b4dfff9c3657
7605,C000180,35,F,52956,Store X,47370,Clothing,55.74,0,ea15b3bc-67ed-4445-bbf9-e90bc02f7ca8
7732,C000181,71,F,95786,Store Y,85954,Groceries,500.92,0,0c11bba3-424e-4994-89e5-685c1b8786af
2397,C000182,61,M,89226,Store Z,87096,Utilities,331.74,0,ce0be166-fe97-4fa1-9a01-c026316ca364
2262,C000183,50,M,23740,Store A,30341,Electronics,996.01,0,24f18fda-5137-4f37-b23e-ca3cc8e6102e
1313,C000184,24,M,79581,Store B,89382,Clothing,990.13,0,65e98800-ea1a-4bc2-bbc2-c1a7fdd0d11d
2306,C000185,68,M,81160,Store C,16069,Utilities,242.89,0,57d5cec2-a226-44a8-8ca9-f1db4290f3fb
5508,C000186,45,M,96078,Store D,84215,Dining,274.58,0,2821d311-0c75-439d-8f0d-0f424649002d
10000,C000187,18,M,53779,Store E,23293,Luxury,16245.08,1,87828a41-9a1c-4753-a826-177c975e99e9
2742,C000188,80,F,30495,Store F,37554,Clothing,890.78,0,34bcd763-1e11-4abc-a1fa-a9fdab6e0a2c
3337,C000189,73,M,49602,Store G,94162,Gifts,14955.45,1,ef3b9a1b-31ea-4873-914e-619d6cc7463a
7481,C000190,56,F,19033,Store H,47667,Gifts,17970.63,1,71b23518-c8be-4b80-ac65-fe9eab336104
5160,C000191,51,F,63103,Store I,61632,Clothing,72.66,0,6745e190-9317-4a75-a212-8617afc44b43
998,C000192,56,M,97140,Store J,56106,Groceries,644.12,0,e6bcca14-7c92-4d70-a7b3-5903e969ca69
6354,C000193,36,F,30442,Store K,79022,Utilities,703.17,0,c8eb80d8-092f-4410-bc27-d31d3ce7e077
2320,C000194,48,M,13247,Store L,92081,Electronics,198.42,0,27334388-bce9-487c-b8d8-3e4d7eb8a654
3208,C000195,30,F,60368,Store M,98164,Groceries,780.19,0,19c61577-e0a0-41cb-8417-3dd266f82d40
8791,C000196,74,M,65244,Store N,79080,Electronics,944.82,0,05a96f3b-f4f6-4b3d-8eae-bf95bd0c42b5
9276,C000197,41,M,35474,Store O,95697,Jewelry,18469.5,1,ea29fd2f-bfb8-4092-828f-aec37d0fee3a
3582,C000198,22,M,74784,Store P,44973,Clothing,252.52,0,a0ea01ee-229e-41b7-afc7-3fa1f57ef390
3087,C000199,40,M,15586,Store Q,28376,Travel,9859.89,1,7e18d887-3364-4c2a-8dbf-e91328f48570
7167,C000200,36,F,66228,Store R,60184,Electronics,504.62,0,e37c1a15-66d8-4e23-9bb1-789b7b64fee0
722,C000201,18,F,17940,Store S,95203,Groceries,166.78,0,0249cd9b-045a-476d-881c-f5f6b17de6c1
1155,C000202,50,F,28606,Store T,70854,Groceries,954.41,0,806b12ce-a4da-4935-83fc-3340a542c595
7168,C000203,80,F,50747,Store U,97936,Luxury,7423.95,1,f51d580e-34c4-44ca-a7bf-1873dd4a4c99
17,C000204,76,F,74727,Store V,80455,Electronics,763.81,0,336a866e-463f-46e5-98d6-53e5af814784
7098,C000205,67,M,44282,Store W,65126,Groceries,348.01,0,ffdb3727-e2f7-49a4-8f1d-90940782938e
9184,C000206,73,M,67760,Store X,87934,Luxury,13605.81,1,83c4f41d-12d9-4bca-83d8-2db0e35b8bc6
2233,C000207,50,M,72996,Store Y,98904,Electronics,56.7,0,17fb6229-79df-4aa6-8d5a-7e2eef33b2be
1447,C000208,49,M,12883,Store Z,32730,Travel,8075.18,1,884a3abb-2baf-4cb7-9fc6-162896a11be2
9658,C000209,76,M,46594,Store A,28167,Electronics,449.95,0,6fc5340f-1069-4187-91cd-13b6e0f0e0d9
5775,C000210,45,F,88103,Store B,64336,Gifts,15157.87,1,aece547c-cc3d-473f-9947-af38f3c343b9
3084,C000211,54,M,79875,Store C,73178,Clothing,779.79,0,f052142f-9e7d-4dec-a7f3-59ec76bccce0
9736,C000212,58,M,98209,Store D,27568,Groceries,39.84,0,69105111-e973-4bf9-acbf-0eff429564bf
8272,C000213,29,F,25426,Store E,82369,Dining,160.97,0,a31dce52-823b-48a9-928c-9478ebe48dd2
6953,C000214,26,F,26486,Store F,81360,Groceries,732.49,0,73fcce06-fc97-45fc-beaa-2b802f2851d5
7842,C000215,67,M,86085,Store G,69657,Clothing,814.92,0,6d88e087-4c6e-4acb-9fed-7c0cf2bd1724
9464,C000216,72,M,13993,Store H,10571,Utilities,244.21,0,8cb6cc3c-3c23-4e32-ba90-5c44b3fa91af
9757,C000217,28,F,22219,Store I,47068,Groceries,237.36,0,7f4c2866-5a0c-4bd0-8841-3ef92eda4d35
5392,C000218,50,M,13708,Store J,30122,Electronics,97.15,0,95ab5925-113b-4a7d-b00c-cb7ca7408553
9906,C000219,36,M,38788,Store K,10583,Dining,158.79,0,f8758583-f0ef-4bcd-9ec0-54ef73875168
9202,C000220,71,M,11495,Store L,71889,Utilities,17.94,0,8592add7-4f00-4b23-b69b-11603cfaddf0
8965,C000221,74,F,46160,Store M,67405,Groceries,593.93,0,5496e057-6e6e-40aa-978e-92690fd731f7
7915,C000222,59,M,17537,Store N,31963,Utilities,904.85,0,92ed8e78-3beb-44b7-b9f5-722f924fbc3c
483,C000223,51,M,45553,Store O,91276,Electronics,158.08,0,5bb3b9be-3a8f-45c6-8ceb-b328fe69bbc7
5682,C000224,24,F,32203,Store P,38364,Gifts,16271.65,1,030769e8-9da2-402b-8fe2-823ff07cf251
7438,C000225,48,F,64032,Store Q,81227,Dining,577.92,0,c42ba351-7d77-4577-9aa5-575b62bc35b4
9774,C000226,69,F,81124,Store R,85861,Electronics,940.52,0,bcc1183f-fa83-49dd-8c6c-90870f4a46ba
9298,C000227,19,M,90747,Store S,99950,Dining,800.14,0,4d8c452e-853e-4a51-9f7d-891ff39e437d
5204,C000228,36,F,47659,Store T,15126,Utilities,854.2,0,334629f7-4ef3-4499-b2ac-89fa9afdcdd0
3362,C000229,55,M,74043,Store U,13762,Groceries,642.75,0,b8265bd5-f365-4b97-88a2-923e381a17fa
5948,C000230,49,F,13525,Store V,12786,Dining,813.22,0,23038217-d614-4a04-a1f2-9be2b6a94bc0
9034,C000231,27,M,95437,Store W,77078,Jewelry,10263.04,1,3d41689c-c13c-4849-b2d0-91eb41ab0cb4
3535,C000232,58,F,14777,Store X,88349,Travel,8135.26,1,19759678-dd3b-4ac0-915d-ff684e8c5c6d
1873,C000233,25,M,79725,Store Y,26417,Dining,913.39,0,48cb21b2-de03-484a-a013-7cfa0ccc4605
7259,C000234,43,M,55791,Store Z,71305,Utilities,736.99,0,f3eb4571-5240-4782-a289-6f83e1677885
